"route_id","service_id","trip_id","trip_headsign","direction_id","block_id","shape_id"
"1","MTUWTF","12515249","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00114","0101"
"1","MTUWTF","12515250","LONG BEACH - CAL STATE LONG BEACH",0,"06412","0100"
"1","MTUWTF","12515251","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00116","0101"
"1","MTUWTF","12515252","LONG BEACH - CAL STATE LONG BEACH",0,"06415","0100"
"1","MTUWTF","12515253","LONG BEACH - CAL STATE LONG BEACH",0,"06619","0100"
"1","MTUWTF","12515254","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00111","0101"
"1","MTUWTF","12515255","LONG BEACH - CAL STATE LONG BEACH",0,"06617","0100"
"1","MTUWTF","12515256","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"06013","0101"
"1","MTUWTF","12515257","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00117","0101"
"1","MTUWTF","12515258","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00112","0101"
"1","MTUWTF","12515259","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00115","0101"
"1","MTUWTF","12515260","LONG BEACH - CAL STATE LONG BEACH",0,"06417","0100"
"1","MTUWTF","12515261","LONG BEACH - CAL STATE LONG BEACH",0,"06013","0100"
"1","MTUWTF","12515262","LONG BEACH - CAL STATE LONG BEACH",0,"00113","0100"
"1","MTUWTF","12515263","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"05012","0101"
"1","MTUWTF","12515264","LONG BEACH - CAL STATE LONG BEACH",0,"00117","0100"
"1","MTUWTF","12515265","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"04713","0101"
"1","MTUWTF","12515266","LONG BEACH - CAL STATE LONG BEACH",0,"00112","0100"
"1","MTUWTF","12515267","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"06014","0101"
"1","MTUWTF","12515268","LONG BEACH - CAL STATE LONG BEACH",0,"00115","0100"
"1","MTUWTF","12515269","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"06012","0101"
"1","MTUWTF","12515270","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"02911","0101"
"1","MTUWTF","12515271","LONG BEACH - CAL STATE LONG BEACH",0,"05012","0100"
"1","MTUWTF","12515272","LONG BEACH - CAL STATE LONG BEACH",0,"00141","0100"
"1","MTUWTF","12515273","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"04311","0101"
"1","MTUWTF","12515274","LONG BEACH - CAL STATE LONG BEACH",0,"00118","0100"
"1","MTUWTF","12515275","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00119","0101"
"1","MTUWTF","12515276","LONG BEACH - CAL STATE LONG BEACH",0,"04711","0100"
"1","MTUWTF","12515277","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00117","0101"
"1","MTUWTF","12515278","LONG BEACH - CAL STATE LONG BEACH",0,"04714","0100"
"1","MTUWTF","12515279","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"06617","0111"
"1","MTUWTF","12515280","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"06417","0111"
"1","MTUWTF","12515281","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00113","0111"
"1","MTUWTF","12515282","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00118","0101"
"1","MTUWTF","12515283","LONG BEACH - CAL STATE LONG BEACH",0,"00111","0100"
"1","MTUWTF","12515284","LONG BEACH - CAL STATE LONG BEACH",0,"00119","0100"
"1","MTUWTF","12515285","LONG BEACH - CAL STATE LONG BEACH",0,"00117","0131"
"1","MTUWTF","12515286","LONG BEACH - CAL STATE LONG BEACH",0,"06616","0131"
"1","MTUWTF","12515287","LONG BEACH - CAL STATE LONG BEACH",0,"00112","0131"
"1","MTUWTF","12515288","LONG BEACH - CAL STATE LONG BEACH",0,"06015","0131"
"1","MTUWTF","12515289","LONG BEACH - CAL STATE LONG BEACH",0,"00119","0131"
"1","MTUWTF","12515290","LONG BEACH - CAL STATE LONG BEACH",0,"04311","0131"
"1","MTUWTF","12515291","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00118","0111"
"1","MTUWTF","12515292","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"04711","0111"
"1","MTUWTF","12515293","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"04714","0111"
"1","SA","12519703","LONG BEACH - CAL STATE LONG BEACH",0,"06013","0100"
"1","SA","12519704","LONG BEACH - CAL STATE LONG BEACH",0,"00112","0100"
"1","SA","12519705","LONG BEACH - CAL STATE LONG BEACH",0,"00114","0100"
"1","SA","12519706","LONG BEACH - CAL STATE LONG BEACH",0,"05012","0100"
"1","SA","12519707","LONG BEACH - CAL STATE LONG BEACH",0,"00141","0100"
"1","SA","12519708","LONG BEACH - CAL STATE LONG BEACH",0,"00143","0100"
"1","SA","12519709","LONG BEACH - CAL STATE LONG BEACH",0,"00142","0100"
"1","SA","12519710","LONG BEACH - CAL STATE LONG BEACH",0,"00112","0100"
"1","SA","12519711","LONG BEACH - CAL STATE LONG BEACH",0,"00114","0100"
"1","SA","12519712","LONG BEACH - CAL STATE LONG BEACH",0,"00113","0100"
"1","SA","12519713","LONG BEACH - CAL STATE LONG BEACH",0,"00141","0100"
"1","SA","12519714","LONG BEACH - CAL STATE LONG BEACH",0,"00142","0100"
"1","SA","12519715","LONG BEACH - CAL STATE LONG BEACH",0,"00112","0100"
"1","SA","12519716","LONG BEACH - CAL STATE LONG BEACH",0,"00143","0100"
"1","SA","12519717","NEWPORT TRANSP CENTER",0,"00114","0110"
"1","SA","12519718","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00111","0101"
"1","SA","12519719","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00141","0101"
"1","SA","12519720","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00143","0101"
"1","SA","12519721","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00142","0101"
"1","SA","12519722","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00112","0101"
"1","SA","12519723","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00114","0101"
"1","SA","12519724","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00113","0101"
"1","SA","12519725","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00141","0101"
"1","SA","12519726","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00143","0101"
"1","SA","12519727","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00142","0101"
"1","SA","12519728","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00112","0101"
"1","SA","12519729","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00114","0101"
"1","SA","12519730","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00113","0101"
"1","SA","12519731","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"06013","0101"
"1","SA","12519732","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"06614","0101"
"1","SU","12522690","NEWPORT TRANSP CENTER",0,"00114","0110"
"1","SU","12522691","LONG BEACH - CAL STATE LONG BEACH",0,"00115","0100"
"1","SU","12522692","LONG BEACH - CAL STATE LONG BEACH",0,"00114","0100"
"1","SU","12522693","LONG BEACH - CAL STATE LONG BEACH",0,"00111","0100"
"1","SU","12522694","LONG BEACH - CAL STATE LONG BEACH",0,"00112","0100"
"1","SU","12522695","LONG BEACH - CAL STATE LONG BEACH",0,"00141","0100"
"1","SU","12522696","LONG BEACH - CAL STATE LONG BEACH",0,"00112","0100"
"1","SU","12522697","LONG BEACH - CAL STATE LONG BEACH",0,"05012","0100"
"1","SU","12522698","LONG BEACH - CAL STATE LONG BEACH",0,"00114","0100"
"1","SU","12522699","LONG BEACH - CAL STATE LONG BEACH",0,"00115","0100"
"1","SU","12522700","LONG BEACH - CAL STATE LONG BEACH",0,"00113","0100"
"1","SU","12522701","LONG BEACH - CAL STATE LONG BEACH",0,"00113","0100"
"1","SU","12522702","LONG BEACH - CAL STATE LONG BEACH",0,"00113","0100"
"1","SU","12522703","LONG BEACH - CAL STATE LONG BEACH",0,"00112","0100"
"1","SU","12522704","LONG BEACH - CAL STATE LONG BEACH",0,"00111","0100"
"1","SU","12522705","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"05012","0101"
"1","SU","12522706","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00111","0101"
"1","SU","12522707","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00115","0101"
"1","SU","12522708","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00112","0101"
"1","SU","12522709","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00113","0101"
"1","SU","12522710","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00114","0101"
"1","SU","12522711","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00141","0101"
"1","SU","12522712","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00111","0101"
"1","SU","12522713","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00115","0101"
"1","SU","12522714","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00112","0101"
"1","SU","12522715","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00113","0101"
"1","SU","12522716","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00114","0101"
"1","SU","12522717","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"06411","0101"
"1","SU","12522718","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"00111","0101"
"1","SU","12522719","SAN CLEMENTE - CAMINO REAL AND SANTA MARGARITA",1,"06413","0101"
"123","MTUWTF","12514791","GOLDEN WEST TRANSP CENTER",1,"06011","1231"
"123","MTUWTF","12514792","ANAHEIM CANYON METROLINK STATION",0,"06612","1230"
"123","MTUWTF","12514793","ANAHEIM CANYON METROLINK STATION",0,"06613","1230"
"123","MTUWTF","12514794","ANAHEIM CANYON METROLINK STATION",0,"12313","1230"
"123","MTUWTF","12514795","GOLDEN WEST TRANSP CENTER",1,"05011","1231"
"123","MTUWTF","12514796","GOLDEN WEST TRANSP CENTER",1,"12311","1231"
"123","MTUWTF","12514797","GOLDEN WEST TRANSP CENTER",1,"12313","1231"
"123","MTUWTF","12514798","GOLDEN WEST TRANSP CENTER",1,"06049","1231"
"123","MTUWTF","12514799","ANAHEIM CANYON METROLINK STATION",0,"06049","1230"
"123","MTUWTF","12514800","ANAHEIM CANYON METROLINK STATION",0,"12311","1230"
"123","MTUWTF","12514801","ANAHEIM CANYON METROLINK STATION",0,"12342","1230"
"123","MTUWTF","12514802","ANAHEIM CANYON METROLINK STATION",0,"12341","1230"
"123","MTUWTF","12514803","ANAHEIM CANYON METROLINK STATION",0,"12313","1230"
"123","MTUWTF","12514804","ANAHEIM CANYON METROLINK STATION",0,"12312","1230"
"123","MTUWTF","12514805","ANAHEIM CANYON METROLINK STATION",0,"06646","1230"
"123","MTUWTF","12514806","ANAHEIM CANYON METROLINK STATION",0,"12342","1230"
"123","MTUWTF","12514807","ANAHEIM CANYON METROLINK STATION",0,"12341","1230"
"123","MTUWTF","12514808","ANAHEIM CANYON METROLINK STATION",0,"12313","1230"
"123","MTUWTF","12514809","ANAHEIM CANYON METROLINK STATION",0,"12312","1230"
"123","MTUWTF","12514810","ANAHEIM CANYON METROLINK STATION",0,"06618","1230"
"123","MTUWTF","12514811","ANAHEIM CANYON METROLINK STATION",0,"06413","1230"
"123","MTUWTF","12514812","ANAHEIM CANYON METROLINK STATION",0,"00115","1230"
"123","MTUWTF","12514813","ANAHEIM CANYON METROLINK STATION",0,"12312","1230"
"123","MTUWTF","12514814","GOLDEN WEST TRANSP CENTER",1,"12311","1231"
"123","MTUWTF","12514815","GOLDEN WEST TRANSP CENTER",1,"12342","1231"
"123","MTUWTF","12514816","GOLDEN WEST TRANSP CENTER",1,"12341","1231"
"123","MTUWTF","12514817","GOLDEN WEST TRANSP CENTER",1,"12313","1231"
"123","MTUWTF","12514818","GOLDEN WEST TRANSP CENTER",1,"12312","1231"
"123","MTUWTF","12514819","GOLDEN WEST TRANSP CENTER",1,"06646","1231"
"123","MTUWTF","12514820","GOLDEN WEST TRANSP CENTER",1,"12342","1231"
"123","MTUWTF","12514821","GOLDEN WEST TRANSP CENTER",1,"12341","1231"
"123","MTUWTF","12514822","GOLDEN WEST TRANSP CENTER",1,"12313","1231"
"123","MTUWTF","12514823","GOLDEN WEST TRANSP CENTER",1,"12312","1231"
"123","MTUWTF","12514824","GOLDEN WEST TRANSP CENTER",1,"06618","1231"
"123","MTUWTF","12514825","GOLDEN WEST TRANSP CENTER",1,"05049","1231"
"123","MTUWTF","12514826","GOLDEN WEST TRANSP CENTER",1,"06612","1231"
"123","MTUWTF","12514827","GOLDEN WEST TRANSP CENTER",1,"06613","1231"
"123","MTUWTF","12514828","CAL STATE FULLERTON",1,"08342","1236"
"123","MTUWTF","12514829","CAL STATE FULLERTON",1,"08342","1236"
"129","MTUWTF","12525165","BUENA PARK METROLINK STATION",1,"12931","1633"
"129","MTUWTF","12525166","BUENA PARK METROLINK STATION",1,"03836","1633"
"129","MTUWTF","12525167","BUENA PARK METROLINK STATION",1,"12932","1633"
"129","MTUWTF","12525168","BUENA PARK METROLINK STATION",1,"12934","1633"
"129","MTUWTF","12525169","BUENA PARK METROLINK STATION",1,"12931","1633"
"129","MTUWTF","12525170","BUENA PARK METROLINK STATION",1,"12932","1633"
"129","MTUWTF","12525171","BUENA PARK METROLINK STATION",1,"12934","1633"
"129","MTUWTF","12525172","BUENA PARK METROLINK STATION",1,"12931","1633"
"129","MTUWTF","12525173","BUENA PARK METROLINK STATION",1,"12931","1633"
"129","MTUWTF","12525174","BUENA PARK METROLINK STATION",1,"12934","1633"
"129","MTUWTF","12525175","BUENA PARK METROLINK STATION",1,"02634","1633"
"129","MTUWTF","12525176","BUENA PARK METROLINK STATION",1,"07133","1633"
"129","MTUWTF","12525177","BUENA PARK METROLINK STATION",1,"12933","1633"
"129","MTUWTF","12525178","BUENA PARK METROLINK STATION",1,"12932","1633"
"129","MTUWTF","12525179","BUENA PARK METROLINK STATION",1,"12934","1633"
"129","MTUWTF","12525180","BUENA PARK METROLINK STATION",1,"12933","1633"
"129","MTUWTF","12525181","BUENA PARK METROLINK STATION",1,"12932","1633"
"129","MTUWTF","12525182","BUENA PARK METROLINK STATION",1,"12933","1633"
"129","MTUWTF","12525183","BUENA PARK METROLINK STATION",1,"12932","1633"
"129","MTUWTF","12525184","BUENA PARK METROLINK STATION",1,"05936","1633"
"129","MTUWTF","12525185","BREA MALL",0,"12933","1632"
"129","MTUWTF","12525186","BREA MALL",0,"14331","1632"
"129","MTUWTF","12525187","BREA MALL",0,"12932","1632"
"129","MTUWTF","12525188","BREA MALL",0,"12931","1632"
"129","MTUWTF","12525189","BREA MALL",0,"02634","1632"
"129","MTUWTF","12525190","BREA MALL",0,"03836","1632"
"129","MTUWTF","12525191","BREA MALL",0,"12932","1632"
"129","MTUWTF","12525192","BREA MALL",0,"12931","1632"
"129","MTUWTF","12525193","BREA MALL",0,"02634","1632"
"129","MTUWTF","12525194","BREA MALL",0,"03836","1632"
"129","MTUWTF","12525195","BREA MALL",0,"12933","1632"
"129","MTUWTF","12525196","BREA MALL",0,"12931","1632"
"129","MTUWTF","12525197","BREA MALL",0,"12934","1632"
"129","MTUWTF","12525198","BREA MALL",0,"12932","1632"
"129","MTUWTF","12525199","BREA MALL",0,"12933","1632"
"129","MTUWTF","12525200","BREA MALL",0,"12931","1632"
"129","MTUWTF","12525201","BREA MALL",0,"12934","1632"
"129","MTUWTF","12525202","BREA MALL",0,"12932","1632"
"129","MTUWTF","12525203","BREA MALL",0,"12933","1632"
"129","MTUWTF","12525204","BREA MALL",0,"12931","1632"
"129","MTUWTF","12525205","BREA MALL",0,"12934","1632"
"129","MTUWTF","12525206","BREA MALL",0,"12932","1632"
"129","MTUWTF","12525207","BREA MALL",0,"05936","1632"
"129","MTUWTF","12525208","BREA MALL",0,"12933","1632"
"129","MTUWTF","12525209","BREA MALL",0,"12931","1632"
"129","MTUWTF","12525210","BREA MALL",0,"12934","1632"
"129","MTUWTF","12525211","BREA MALL",0,"12932","1632"
"129","MTUWTF","12525212","BREA MALL",0,"05936","1632"
"129","MTUWTF","12525213","BREA MALL",0,"12933","1632"
"129","MTUWTF","12525214","BREA MALL",0,"12931","1632"
"129","MTUWTF","12525215","BREA MALL",0,"12934","1632"
"129","MTUWTF","12525216","BREA MALL",0,"05936","1632"
"129","MTUWTF","12525217","BUENA PARK METROLINK STATION",1,"05936","1633"
"129","MTUWTF","12525218","BUENA PARK METROLINK STATION",1,"12933","1633"
"129","MTUWTF","12525219","BUENA PARK METROLINK STATION",1,"12933","1633"
"129","MTUWTF","12525220","BUENA PARK METROLINK STATION",1,"12931","1633"
"129","MTUWTF","12525221","BUENA PARK METROLINK STATION",1,"02634","1633"
"129","MTUWTF","12525222","BUENA PARK METROLINK STATION",1,"05936","1633"
"129","MTUWTF","12525223","BUENA PARK METROLINK STATION",1,"12931","1633"
"129","MTUWTF","12525224","BUENA PARK METROLINK STATION",1,"12932","1633"
"129","MTUWTF","12525225","BUENA PARK METROLINK STATION",1,"12932","1633"
"129","MTUWTF","12525226","BUENA PARK METROLINK STATION",1,"12931","1633"
"129","MTUWTF","12525227","BUENA PARK METROLINK STATION",1,"02634","1633"
"129","MTUWTF","12525228","BUENA PARK METROLINK STATION",1,"03836","1633"
"129","MTUWTF","12525229","BREA MALL",0,"07131","1632"
"129","MTUWTF","12525230","BUENA PARK METROLINK STATION",1,"14331","1633"
"129","MTUWTF","12525231","BREA MALL",0,"03831","1632"
"129","MTUWTF","12525232","BREA MALL",0,"07133","1632"
"129","MTUWTF","12525233","BUENA PARK METROLINK STATION",1,"03831","1633"
"129","MTUWTF","12525234","BUENA PARK METROLINK STATION",1,"12933","1633"
"129","MTUWTF","12525235","BUENA PARK METROLINK STATION",1,"03831","1633"
"129","MTUWTF","12525236","BREA MALL",0,"12933","1632"
"129","SA","12527710","BREA MALL",0,"05931","1632"
"129","SA","12527711","BUENA PARK METROLINK STATION",1,"12932","1633"
"129","SA","12527712","BREA MALL",0,"12931","1632"
"129","SA","12527713","BREA MALL",0,"05933","1632"
"129","SA","12527714","BREA MALL",0,"12931","1632"
"129","SA","12527715","BREA MALL",0,"12932","1632"
"129","SA","12527716","BREA MALL",0,"12932","1632"
"129","SA","12527717","BREA MALL",0,"12931","1632"
"129","SA","12527718","BREA MALL",0,"05934","1632"
"129","SA","12527719","BREA MALL",0,"12931","1632"
"129","SA","12527720","BREA MALL",0,"12932","1632"
"129","SA","12527721","BREA MALL",0,"12931","1632"
"129","SA","12527722","BREA MALL",0,"12931","1632"
"129","SA","12527723","BREA MALL",0,"12932","1632"
"129","SA","12527724","BREA MALL",0,"12932","1632"
"129","SA","12527725","BREA MALL",0,"12932","1632"
"129","SA","12527726","BUENA PARK METROLINK STATION",1,"05934","1633"
"129","SA","12527727","BUENA PARK METROLINK STATION",1,"12932","1633"
"129","SA","12527728","BUENA PARK METROLINK STATION",1,"12931","1633"
"129","SA","12527729","BUENA PARK METROLINK STATION",1,"12932","1633"
"129","SA","12527730","BUENA PARK METROLINK STATION",1,"12931","1633"
"129","SA","12527731","BUENA PARK METROLINK STATION",1,"12932","1633"
"129","SA","12527732","BUENA PARK METROLINK STATION",1,"12931","1633"
"129","SA","12527733","BUENA PARK METROLINK STATION",1,"12932","1633"
"129","SA","12527734","BUENA PARK METROLINK STATION",1,"12931","1633"
"129","SA","12527735","BUENA PARK METROLINK STATION",1,"12932","1633"
"129","SA","12527736","BUENA PARK METROLINK STATION",1,"12931","1633"
"129","SA","12527737","BUENA PARK METROLINK STATION",1,"12932","1633"
"129","SA","12527738","BUENA PARK METROLINK STATION",1,"12931","1633"
"129","SA","12527739","BUENA PARK METROLINK STATION",1,"12932","1633"
"129","SA","12527740","BREA MALL",0,"12932","1632"
"129","SU","12529294","BREA MALL",0,"05931","1632"
"129","SU","12529295","BREA MALL",0,"05932","1632"
"129","SU","12529296","BREA MALL",0,"12931","1632"
"129","SU","12529297","BREA MALL",0,"05934","1632"
"129","SU","12529298","BREA MALL",0,"12931","1632"
"129","SU","12529299","BREA MALL",0,"05934","1632"
"129","SU","12529300","BREA MALL",0,"12931","1632"
"129","SU","12529301","BREA MALL",0,"05934","1632"
"129","SU","12529302","BREA MALL",0,"12931","1632"
"129","SU","12529303","BREA MALL",0,"05933","1632"
"129","SU","12529304","BREA MALL",0,"12931","1632"
"129","SU","12529305","BREA MALL",0,"05933","1632"
"129","SU","12529306","BREA MALL",0,"12931","1632"
"129","SU","12529307","BREA MALL",0,"05933","1632"
"129","SU","12529308","BREA MALL",0,"12931","1632"
"129","SU","12529309","BREA MALL",0,"05931","1632"
"129","SU","12529310","BUENA PARK METROLINK STATION",1,"12931","1633"
"129","SU","12529311","BUENA PARK METROLINK STATION",1,"05934","1633"
"129","SU","12529312","BUENA PARK METROLINK STATION",1,"12931","1633"
"129","SU","12529313","BUENA PARK METROLINK STATION",1,"05934","1633"
"129","SU","12529314","BUENA PARK METROLINK STATION",1,"12931","1633"
"129","SU","12529315","BUENA PARK METROLINK STATION",1,"05934","1633"
"129","SU","12529316","BUENA PARK METROLINK STATION",1,"12931","1633"
"129","SU","12529317","BUENA PARK METROLINK STATION",1,"05933","1633"
"129","SU","12529318","BUENA PARK METROLINK STATION",1,"12931","1633"
"129","SU","12529319","BUENA PARK METROLINK STATION",1,"05933","1633"
"129","SU","12529320","BUENA PARK METROLINK STATION",1,"12931","1633"
"129","SU","12529321","BUENA PARK METROLINK STATION",1,"05933","1633"
"129","SU","12529322","BUENA PARK METROLINK STATION",1,"12931","1633"
"129","SU","12529323","BUENA PARK METROLINK STATION",1,"05931","1633"
"129","SU","12529324","BUENA PARK METROLINK STATION",1,"12931","1633"
"143","MTUWTF","12525661","LA HABRA-BEACH AND LA HABRA",1,"14332","3203"
"143","MTUWTF","12525662","BREA MALL",0,"12931","3202"
"143","MTUWTF","12525663","LA HABRA-BEACH AND LA HABRA",1,"14332","3203"
"143","MTUWTF","12525664","LA HABRA-BEACH AND LA HABRA",1,"14331","3203"
"143","MTUWTF","12525665","LA HABRA-BEACH AND LA HABRA",1,"14333","3203"
"143","MTUWTF","12525666","LA HABRA-BEACH AND LA HABRA",1,"14333","3203"
"143","MTUWTF","12525667","BREA MALL",0,"14331","3202"
"143","MTUWTF","12525668","BREA MALL",0,"14331","3202"
"143","MTUWTF","12525669","BREA MALL",0,"14331","3202"
"143","MTUWTF","12525670","BREA MALL",0,"14332","3202"
"143","MTUWTF","12525671","BREA MALL",0,"14333","3202"
"143","MTUWTF","12525672","BREA MALL",0,"14331","3202"
"143","MTUWTF","12525673","BREA MALL",0,"14332","3202"
"143","MTUWTF","12525674","BREA MALL",0,"14333","3202"
"143","MTUWTF","12525675","BREA MALL",0,"14332","3202"
"143","MTUWTF","12525676","BREA MALL",0,"14331","3202"
"143","MTUWTF","12525677","BREA MALL",0,"14333","3202"
"143","MTUWTF","12525678","BREA MALL",0,"14333","3202"
"143","MTUWTF","12525679","BREA MALL",0,"14333","3202"
"143","MTUWTF","12525680","BREA MALL",0,"14333","3202"
"143","MTUWTF","12525681","BREA MALL",0,"14333","3202"
"143","MTUWTF","12525682","BREA MALL",0,"14332","3202"
"143","MTUWTF","12525683","BREA MALL",0,"14332","3202"
"143","MTUWTF","12525684","BREA MALL",0,"14331","3202"
"143","MTUWTF","12525685","BREA MALL",0,"14332","3202"
"143","MTUWTF","12525686","BREA MALL",0,"14332","3202"
"143","MTUWTF","12525687","BREA MALL",0,"03532","3202"
"143","MTUWTF","12525688","LA HABRA-BEACH AND LA HABRA",1,"14331","3203"
"143","MTUWTF","12525689","LA HABRA-BEACH AND LA HABRA",1,"14332","3203"
"143","MTUWTF","12525690","LA HABRA-BEACH AND LA HABRA",1,"14333","3203"
"143","MTUWTF","12525691","LA HABRA-BEACH AND LA HABRA",1,"14331","3203"
"143","MTUWTF","12525692","LA HABRA-BEACH AND LA HABRA",1,"14332","3203"
"143","MTUWTF","12525693","LA HABRA-BEACH AND LA HABRA",1,"14333","3203"
"143","MTUWTF","12525694","LA HABRA-BEACH AND LA HABRA",1,"14331","3203"
"143","MTUWTF","12525695","LA HABRA-BEACH AND LA HABRA",1,"14332","3203"
"143","MTUWTF","12525696","LA HABRA-BEACH AND LA HABRA",1,"14333","3203"
"143","MTUWTF","12525697","LA HABRA-BEACH AND LA HABRA",1,"14331","3203"
"143","MTUWTF","12525698","LA HABRA-BEACH AND LA HABRA",1,"14332","3203"
"143","MTUWTF","12525699","LA HABRA-BEACH AND LA HABRA",1,"14333","3203"
"143","MTUWTF","12525700","LA HABRA-BEACH AND LA HABRA",1,"14331","3203"
"143","MTUWTF","12525701","LA HABRA-BEACH AND LA HABRA",1,"14332","3203"
"143","MTUWTF","12525702","LA HABRA-BEACH AND LA HABRA",1,"14333","3203"
"143","MTUWTF","12525703","LA HABRA-BEACH AND LA HABRA",1,"12934","3203"
"143","MTUWTF","12525704","LA HABRA-BEACH AND LA HABRA",1,"14333","3203"
"143","MTUWTF","12525705","LA HABRA-BEACH AND LA HABRA",1,"14332","3203"
"143","MTUWTF","12525706","BREA MALL",0,"12934","3202"
"143","SA","12527927","BREA MALL",0,"12931","3202"
"143","SA","12527928","LA HABRA-BEACH AND LA HABRA",1,"14331","3203"
"143","SA","12527929","LA HABRA-BEACH AND LA HABRA",1,"14332","3203"
"143","SA","12527930","LA HABRA-BEACH AND LA HABRA",1,"14332","3203"
"143","SA","12527931","LA HABRA-BEACH AND LA HABRA",1,"14333","3203"
"143","SA","12527932","LA HABRA-BEACH AND LA HABRA",1,"14331","3203"
"143","SA","12527933","LA HABRA-BEACH AND LA HABRA",1,"14332","3203"
"143","SA","12527934","LA HABRA-BEACH AND LA HABRA",1,"14333","3203"
"143","SA","12527935","LA HABRA-BEACH AND LA HABRA",1,"14333","3203"
"143","SA","12527936","LA HABRA-BEACH AND LA HABRA",1,"14333","3203"
"143","SA","12527937","LA HABRA-BEACH AND LA HABRA",1,"14331","3203"
"143","SA","12527938","LA HABRA-BEACH AND LA HABRA",1,"14332","3203"
"143","SA","12527939","LA HABRA-BEACH AND LA HABRA",1,"14333","3203"
"143","SA","12527940","LA HABRA-BEACH AND LA HABRA",1,"14331","3203"
"143","SA","12527941","LA HABRA-BEACH AND LA HABRA",1,"14331","3203"
"143","SA","12527942","LA HABRA-BEACH AND LA HABRA",1,"14331","3203"
"143","SA","12527943","LA HABRA-BEACH AND LA HABRA",1,"12931","3203"
"143","SA","12527944","LA HABRA-BEACH AND LA HABRA",1,"14331","3203"
"143","SA","12527945","LA HABRA-BEACH AND LA HABRA",1,"14332","3203"
"143","SA","12527946","BREA MALL",0,"14331","3202"
"143","SA","12527947","BREA MALL",0,"14332","3202"
"143","SA","12527948","LA HABRA-BEACH AND LA HABRA",1,"14332","3203"
"143","SA","12527949","BREA MALL",0,"14331","3202"
"143","SA","12527950","BREA MALL",0,"14332","3202"
"143","SA","12527951","BREA MALL",0,"12931","3202"
"143","SA","12527952","BREA MALL",0,"14331","3202"
